Category,Sector Code,Product code,Product desc,Product Brief Description,Unit,Country,Period,MP Market Price
"Animal Products","POR","0103 91","Piglets","Piglets - Porcelets, 20 kg","€/100 kg carcass weight","BE","202006","43.6000000"
"Animal Products","POR","0103 91","Piglets","Piglets - Porcelets, 20 kg","€/100 kg carcass weight","DE","202006","59.8967000"
"Animal Products","POR","0103 91","Piglets","Piglets - Porcelets, 20 kg","€/100 kg carcass weight","DK","202006","59.5233000"
"Animal Products","POR","0103 91","Piglets","Piglets - Porcelets, 20 kg","€/100 kg carcass weight","ES","202006","43.0433000"
"Animal Products","POR","0103 91","Piglets","Piglets - Porcelets, 20 kg","€/100 kg carcass weight","EU","202006","50.7101000"
"Animal Products","POR","0103 91","Piglets","Piglets - Porcelets, 20 kg","€/100 kg carcass weight","FI","202006","43.4583000"
"Animal Products","POR","0103 91","Piglets","Piglets - Porcelets, 20 kg","€/100 kg carcass weight","FR","202006","34.6000000"
"Animal Products","POR","0103 91","Piglets","Piglets - Porcelets, 20 kg","€/100 kg carcass weight","HR","202006","57.9638000"
"Animal Products","POR","0103 91","Piglets","Piglets - Porcelets, 20 kg","€/100 kg carcass weight","HU","202006","62.6781000"
"Animal Products","POR","0103 91","Piglets","Piglets - Porcelets, 20 kg","€/100 kg carcass weight","IT","202006","61.3033000"
"Animal Products","POR","0103 91","Piglets","Piglets - Porcelets, 20 kg","€/100 kg carcass weight","MT","202006","91.3600000"
"Animal Products","POR","0103 91","Piglets","Piglets - Porcelets, 20 kg","€/100 kg carcass weight","NL","202006","37.2917000"
"Animal Products","POR","0103 91","Piglets","Piglets - Porcelets, 20 kg","€/100 kg carcass weight","PL","202006","62.2830000"
"Animal Products","POR","0103 91","Piglets","Piglets - Porcelets, 20 kg","€/100 kg carcass weight","PT","202006","44.8333000"
"Animal Products","POR","0103 91","Piglets","Piglets - Porcelets, 20 kg","€/100 kg carcass weight","SE","202006","78.3777000"
"Animal Products","POR","0103 91","Piglets","Piglets - Porcelets, 20 kg","€/100 kg carcass weight","UK","202006","67.0402000"
"Animal Products","OEV","0207 11 30","Chicken","Broiler - Poulet, 65%","€/100 kg carcass weight","AT","202006","270.3033000"
"Animal Products","OEV","0207 11 30","Chicken","Broiler - Poulet, 65%","€/100 kg carcass weight","BE","202006","156.5000000"
"Animal Products","OEV","0207 11 30","Chicken","Broiler - Poulet, 65%","€/100 kg carcass weight","BG","202006","140.8232000"
"Animal Products","OEV","0207 11 30","Chicken","Broiler - Poulet, 65%","€/100 kg carcass weight","CY","202006","221.4953000"
"Animal Products","OEV","0207 11 30","Chicken","Broiler - Poulet, 65%","€/100 kg carcass weight","CZ","202006","205.3192000"
"Animal Products","OEV","0207 11 30","Chicken","Broiler - Poulet, 65%","€/100 kg carcass weight","DE","202006","288.4667000"
"Animal Products","OEV","0207 11 30","Chicken","Broiler - Poulet, 65%","€/100 kg carcass weight","DK","202006","250.2692000"
"Animal Products","OEV","0207 11 30","Chicken","Broiler - Poulet, 65%","€/100 kg carcass weight","EL","202006","192.0283000"
"Animal Products","OEV","0207 11 30","Chicken","Broiler - Poulet, 65%","€/100 kg carcass weight","ES","202006","133.7370000"
"Animal Products","OEV","0207 11 30","Chicken","Broiler - Poulet, 65%","€/100 kg carcass weight","FI","202006","303.9063000"
"Animal Products","OEV","0207 11 30","Chicken","Broiler - Poulet, 65%","€/100 kg carcass weight","FR","202006","224.6667000"
"Animal Products","OEV","0207 11 30","Chicken","Broiler - Poulet, 65%","€/100 kg carcass weight","HR","202006","183.5408000"
"Animal Products","OEV","0207 11 30","Chicken","Broiler - Poulet, 65%","€/100 kg carcass weight","HU","202006","146.5828000"
"Animal Products","OEV","0207 11 30","Chicken","Broiler - Poulet, 65%","€/100 kg carcass weight","IE","202006","214.6960000"
"Animal Products","OEV","0207 11 30","Chicken","Broiler - Poulet, 65%","€/100 kg carcass weight","IT","202006","174.6667000"
"Animal Products","OEV","0207 11 30","Chicken","Broiler - Poulet, 65%","€/100 kg carcass weight","LT","202006","148.6580000"
"Animal Products","OEV","0207 11 30","Chicken","Broiler - Poulet, 65%","€/100 kg carcass weight","MT","202006","221.2500000"
"Animal Products","OEV","0207 11 30","Chicken","Broiler - Poulet, 65%","€/100 kg carcass weight","NL","202006","174.0000000"
"Animal Products","OEV","0207 11 30","Chicken","Broiler - Poulet, 65%","€/100 kg carcass weight","PL","202006","116.2511000"
"Animal Products","OEV","0207 11 30","Chicken","Broiler - Poulet, 65%","€/100 kg carcass weight","PT","202006","171.2000000"
"Animal Products","OEV","0207 11 30","Chicken","Broiler - Poulet, 65%","€/100 kg carcass weight","RO","202006","131.6316000"
"Animal Products","OEV","0207 11 30","Chicken","Broiler - Poulet, 65%","€/100 kg carcass weight","SE","202006","255.5419000"
"Animal Products","OEV","0207 11 30","Chicken","Broiler - Poulet, 65%","€/100 kg carcass weight","SI","202006","205.1020000"
"Animal Products","OEV","0207 11 30","Chicken","Broiler - Poulet, 65%","€/100 kg carcass weight","SK","202006","183.7870000"
"Animal Products","OEV","0207 11 30","Chicken","Broiler - Poulet, 65%","€/100 kg carcass weight","UK","202006","163.4800000"
"Animal Products","OEV","0407 00 5LM","Eggs","Eggs - Œufs , Class A, categories L&M","€/100 kg shell","AT","202006","185.1967000"
"Animal Products","OEV","0407 00 5LM","Eggs","Eggs - Œufs , Class A, categories L&M","€/100 kg shell","BE","202006","108.2337000"
"Animal Products","OEV","0407 00 5LM","Eggs","Eggs - Œufs , Class A, categories L&M","€/100 kg shell","BG","202006","95.0528000"
"Animal Products","OEV","0407 00 5LM","Eggs","Eggs - Œufs , Class A, categories L&M","€/100 kg shell","CY","202006","160.1800000"
"Animal Products","OEV","0407 00 5LM","Eggs","Eggs - Œufs , Class A, categories L&M","€/100 kg shell","CZ","202006","102.5875000"
"Animal Products","OEV","0407 00 5LM","Eggs","Eggs - Œufs , Class A, categories L&M","€/100 kg shell","DE","202006","126.3843000"
"Animal Products","OEV","0407 00 5LM","Eggs","Eggs - Œufs , Class A, categories L&M","€/100 kg shell","DK","202006","171.7018000"
"Animal Products","OEV","0407 00 5LM","Eggs","Eggs - Œufs , Class A, categories L&M","€/100 kg shell","EE","202006","135.4877000"
"Animal Products","OEV","0407 00 5LM","Eggs","Eggs - Œufs , Class A, categories L&M","€/100 kg shell","EL","202006","130.9830000"
"Animal Products","OEV","0407 00 5LM","Eggs","Eggs - Œufs , Class A, categories L&M","€/100 kg shell","ES","202006","86.2033000"
"Animal Products","OEV","0407 00 5LM","Eggs","Eggs - Œufs , Class A, categories L&M","€/100 kg shell","FI","202006","156.1790000"
"Animal Products","OEV","0407 00 5LM","Eggs","Eggs - Œufs , Class A, categories L&M","€/100 kg shell","FR","202006","125.2457000"
"Animal Products","OEV","0407 00 5LM","Eggs","Eggs - Œufs , Class A, categories L&M","€/100 kg shell","HR","202006","137.1505000"
"Animal Products","OEV","0407 00 5LM","Eggs","Eggs - Œufs , Class A, categories L&M","€/100 kg shell","HU","202006","123.2665000"
"Animal Products","OEV","0407 00 5LM","Eggs","Eggs - Œufs , Class A, categories L&M","€/100 kg shell","IE","202006","157.0800000"
"Animal Products","OEV","0407 00 5LM","Eggs","Eggs - Œufs , Class A, categories L&M","€/100 kg shell","IT","202006","180.9920000"
"Animal Products","OEV","0407 00 5LM","Eggs","Eggs - Œufs , Class A, categories L&M","€/100 kg shell","LT","202006","110.4310000"
"Animal Products","OEV","0407 00 5LM","Eggs","Eggs - Œufs , Class A, categories L&M","€/100 kg shell","LV","202006","117.9177000"
"Animal Products","OEV","0407 00 5LM","Eggs","Eggs - Œufs , Class A, categories L&M","€/100 kg shell","MT","202006","142.7100000"
"Animal Products","OEV","0407 00 5LM","Eggs","Eggs - Œufs , Class A, categories L&M","€/100 kg shell","NL","202006","136.7000000"
"Animal Products","OEV","0407 00 5LM","Eggs","Eggs - Œufs , Class A, categories L&M","€/100 kg shell","PL","202006","135.3683000"
"Animal Products","OEV","0407 00 5LM","Eggs","Eggs - Œufs , Class A, categories L&M","€/100 kg shell","PT","202006","116.0473000"
"Animal Products","OEV","0407 00 5LM","Eggs","Eggs - Œufs , Class A, categories L&M","€/100 kg shell","RO","202006","89.8341000"
"Animal Products","OEV","0407 00 5LM","Eggs","Eggs - Œufs , Class A, categories L&M","€/100 kg shell","SE","202006","168.5239000"
"Animal Products","OEV","0407 00 5LM","Eggs","Eggs - Œufs , Class A, categories L&M","€/100 kg shell","SI","202006","137.9113000"
"Animal Products","OEV","0407 00 5LM","Eggs","Eggs - Œufs , Class A, categories L&M","€/100 kg shell","SK","202006","108.8477000"
"Animal Products","OEV","0407 00 5LM","Eggs","Eggs - Œufs , Class A, categories L&M","€/100 kg shell","UK","202006","99.3857000"
"Animal Products","BOV","A R3","Young Bulls","Young Bulls - Jeunes taureaux, R3","€/100 kg carcass weight","AT","202006","348.5830000"
"Animal Products","BOV","A R3","Young Bulls","Young Bulls - Jeunes taureaux, R3","€/100 kg carcass weight","BE","202006","297.0450000"
"Animal Products","BOV","A R3","Young Bulls","Young Bulls - Jeunes taureaux, R3","€/100 kg carcass weight","CZ","202006","310.5170000"
"Animal Products","BOV","A R3","Young Bulls","Young Bulls - Jeunes taureaux, R3","€/100 kg carcass weight","DE","202006","354.2210000"
"Animal Products","BOV","A R3","Young Bulls","Young Bulls - Jeunes taureaux, R3","€/100 kg carcass weight","DK","202006","321.1897000"
"Animal Products","BOV","A R3","Young Bulls","Young Bulls - Jeunes taureaux, R3","€/100 kg carcass weight","ES","202006","347.3923000"
"Animal Products","BOV","A R3","Young Bulls","Young Bulls - Jeunes taureaux, R3","€/100 kg carcass weight","EU","202006","349.7672000"
"Animal Products","BOV","A R3","Young Bulls","Young Bulls - Jeunes taureaux, R3","€/100 kg carcass weight","FI","202006","384.2810000"
"Animal Products","BOV","A R3","Young Bulls","Young Bulls - Jeunes taureaux, R3","€/100 kg carcass weight","FR","202006","365.7000000"
"Animal Products","BOV","A R3","Young Bulls","Young Bulls - Jeunes taureaux, R3","€/100 kg carcass weight","HR","202006","336.2181000"
"Animal Products","BOV","A R3","Young Bulls","Young Bulls - Jeunes taureaux, R3","€/100 kg carcass weight","IE","202006","349.7340000"
"Animal Products","BOV","A R3","Young Bulls","Young Bulls - Jeunes taureaux, R3","€/100 kg carcass weight","IT","202006","372.9430000"
"Animal Products","BOV","A R3","Young Bulls","Young Bulls - Jeunes taureaux, R3","€/100 kg carcass weight","LT","202006","268.1090000"
"Animal Products","BOV","A R3","Young Bulls","Young Bulls - Jeunes taureaux, R3","€/100 kg carcass weight","LU","202006","353.8640000"
"Animal Products","BOV","A R3","Young Bulls","Young Bulls - Jeunes taureaux, R3","€/100 kg carcass weight","LV","202006","280.8157000"
"Animal Products","BOV","A R3","Young Bulls","Young Bulls - Jeunes taureaux, R3","€/100 kg carcass weight","NL","202006","290.9000000"
"Animal Products","BOV","A R3","Young Bulls","Young Bulls - Jeunes taureaux, R3","€/100 kg carcass weight","PL","202006","283.2383000"
"Animal Products","BOV","A R3","Young Bulls","Young Bulls - Jeunes taureaux, R3","€/100 kg carcass weight","PT","202006","379.2297000"
"Animal Products","BOV","A R3","Young Bulls","Young Bulls - Jeunes taureaux, R3","€/100 kg carcass weight","RO","202006","324.9771000"
"Animal Products","BOV","A R3","Young Bulls","Young Bulls - Jeunes taureaux, R3","€/100 kg carcass weight","SE","202006","423.2912000"
"Animal Products","BOV","A R3","Young Bulls","Young Bulls - Jeunes taureaux, R3","€/100 kg carcass weight","SI","202006","307.3647000"
"Animal Products","BOV","A R3","Young Bulls","Young Bulls - Jeunes taureaux, R3","€/100 kg carcass weight","SK","202006","366.4150000"
"Animal Products","BOV","A R3","Young Bulls","Young Bulls - Jeunes taureaux, R3","€/100 kg carcass weight","UK","202006","399.1010000"
"Animal Products","OEV","ALL","Eggs","OEUFS L & M Tous","€/100 kg shell","EU","202006","129.4105000"
"Animal Products","OEV","ALL","Eggs","OEUFS L & M Tous","€/100 kg shell","EU","202006","129.4105000"
"Animal Products","OEV","ALL","Chicken","POULET Tous","€/100 kg carcass weight","EU","202006","180.5717000"
"Animal Products","OEV","ALL","Chicken","POULET Tous","€/100 kg carcass weight","EU","202006","180.5717000"
"Animal Products","BOV","ALL R3","Male Bovines","Male Bovines - Gros bovins males, R3","€/100 kg carcass weight","AT","202006","348.5830000"
"Animal Products","BOV","ALL R3","Male Bovines","Male Bovines - Gros bovins males, R3","€/100 kg carcass weight","BE","202006","297.0450000"
"Animal Products","BOV","ALL R3","Male Bovines","Male Bovines - Gros bovins males, R3","€/100 kg carcass weight","CZ","202006","310.5170000"
"Animal Products","BOV","ALL R3","Male Bovines","Male Bovines - Gros bovins males, R3","€/100 kg carcass weight","DE","202006","354.2210000"
"Animal Products","BOV","ALL R3","Male Bovines","Male Bovines - Gros bovins males, R3","€/100 kg carcass weight","DK","202006","321.1897000"
"Animal Products","BOV","ALL R3","Male Bovines","Male Bovines - Gros bovins males, R3","€/100 kg carcass weight","EE","202006","312.2653000"
"Animal Products","BOV","ALL R3","Male Bovines","Male Bovines - Gros bovins males, R3","€/100 kg carcass weight","ES","202006","347.3923000"
"Animal Products","BOV","ALL R3","Male Bovines","Male Bovines - Gros bovins males, R3","€/100 kg carcass weight","EU","202006","346.8718000"
"Animal Products","BOV","ALL R3","Male Bovines","Male Bovines - Gros bovins males, R3","€/100 kg carcass weight","FI","202006","384.2810000"
"Animal Products","BOV","ALL R3","Male Bovines","Male Bovines - Gros bovins males, R3","€/100 kg carcass weight","FR","202006","368.1000000"
"Animal Products","BOV","ALL R3","Male Bovines","Male Bovines - Gros bovins males, R3","€/100 kg carcass weight","HR","202006","336.2181000"
"Animal Products","BOV","ALL R3","Male Bovines","Male Bovines - Gros bovins males, R3","€/100 kg carcass weight","IE","202006","361.3467000"
"Animal Products","BOV","ALL R3","Male Bovines","Male Bovines - Gros bovins males, R3","€/100 kg carcass weight","IT","202006","372.9430000"
"Animal Products","BOV","ALL R3","Male Bovines","Male Bovines - Gros bovins males, R3","€/100 kg carcass weight","LT","202006","268.1090000"
